Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","14","Barbados","5510","Production","1058","Meat, chicken","2017","2017","tonnes","15805","","Official data"
"QL","Livestock Primary","57","Belarus","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","345254","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","57","Belarus","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","13324","Fc","Calculated data"
"QL","Livestock Primary","57","Belarus","5510","Production","1058","Meat, chicken","2017","2017","tonnes","460000","F","FAO estimate"
"QL","Livestock Primary","255","Belgium","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","300502","","Official data"
"QL","Livestock Primary","255","Belgium","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","15153","Fc","Calculated data"
"QL","Livestock Primary","255","Belgium","5510","Production","1058","Meat, chicken","2017","2017","tonnes","455364","","Official data"
"QL","Livestock Primary","23","Belize","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","11870","","Official data"
"QL","Livestock Primary","23","Belize","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","16552","Fc","Calculated data"
"QL","Livestock Primary","23","Belize","5510","Production","1058","Meat, chicken","2017","2017","tonnes","19646","","Official data"
"QL","Livestock Primary","53","Benin","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","25653","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","53","Benin","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","5500","Fc","Calculated data"
"QL","Livestock Primary","53","Benin","5510","Production","1058","Meat, chicken","2017","2017","tonnes","14109","","Official data"
"QL","Livestock Primary","17","Bermuda","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","99","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","17","Bermuda","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","12000","Fc","Calculated data"
"QL","Livestock Primary","17","Bermuda","5510","Production","1058","Meat, chicken","2017","2017","tonnes","119","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","18","Bhutan","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","1259","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","18","Bhutan","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","12478","Fc","Calculated data"
"QL","Livestock Primary","18","Bhutan","5510","Production","1058","Meat, chicken","2017","2017","tonnes","1571","","Official data"
"QL","Livestock Primary","19","Bolivia (Plurinational State of)","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","202404","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","19","Bolivia (Plurinational State of)","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","24905","Fc","Calculated data"
"QL","Livestock Primary","19","Bolivia (Plurinational State of)","5510","Production","1058","Meat, chicken","2017","2017","tonnes","504093","","Official data"
"QL","Livestock Primary","80","Bosnia and Herzegovina","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","39782","","Official data"
"QL","Livestock Primary","80","Bosnia and Herzegovina","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","15326","Fc","Calculated data"
"QL","Livestock Primary","80","Bosnia and Herzegovina","5510","Production","1058","Meat, chicken","2017","2017","tonnes","60970","","Official data"
"QL","Livestock Primary","20","Botswana","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","4293","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","20","Botswana","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","10715","Fc","Calculated data"
"QL","Livestock Primary","20","Botswana","5510","Production","1058","Meat, chicken","2017","2017","tonnes","4600","F","FAO estimate"
"QL","Livestock Primary","21","Brazil","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","5842721","","Official data"
"QL","Livestock Primary","21","Brazil","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","23289","Fc","Calculated data"
"QL","Livestock Primary","21","Brazil","5510","Production","1058","Meat, chicken","2017","2017","tonnes","13607352","","Official data"
"QL","Livestock Primary","26","Brunei Darussalam","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","15522","","Official data"
"QL","Livestock Primary","26","Brunei Darussalam","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","14835","Fc","Calculated data"
"QL","Livestock Primary","26","Brunei Darussalam","5510","Production","1058","Meat, chicken","2017","2017","tonnes","23027","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","27","Bulgaria","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","50074","","Official data"
"QL","Livestock Primary","27","Bulgaria","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","17380","Fc","Calculated data"
"QL","Livestock Primary","27","Bulgaria","5510","Production","1058","Meat, chicken","2017","2017","tonnes","87029","","Official data"
"QL","Livestock Primary","233","Burkina Faso","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","60091","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","233","Burkina Faso","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","8000","Fc","Calculated data"
"QL","Livestock Primary","233","Burkina Faso","5510","Production","1058","Meat, chicken","2017","2017","tonnes","48073","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","29","Burundi","5321","Producing Animals/Slaughtered","1058","Meat, chicken","2017","2017","1000 Head","7000","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","29","Burundi","5424","Yield/Carcass Weight","1058","Meat, chicken","2017","2017","0.1g/An","9000","Fc","Calculated data"
