Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TA","Live animals","255","Belgium","5622","Import Value","1057","Chickens","2017","2017","1000 US$","207538","","Official data"
"TA","Live animals","255","Belgium","5909","Export Quantity","1057","Chickens","2017","2017","1000 Head","132204","","Official data"
"TA","Live animals","255","Belgium","5922","Export Value","1057","Chickens","2017","2017","1000 US$","120048","","Official data"
"TA","Live animals","23","Belize","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","132","*","Unofficial figure"
"TA","Live animals","23","Belize","5622","Import Value","1057","Chickens","2017","2017","1000 US$","665","*","Unofficial figure"
"TA","Live animals","53","Benin","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","294","R","Estimated data using trading partners database"
"TA","Live animals","53","Benin","5622","Import Value","1057","Chickens","2017","2017","1000 US$","355","R","Estimated data using trading partners database"
"TA","Live animals","17","Bermuda","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","11","","Official data"
"TA","Live animals","17","Bermuda","5622","Import Value","1057","Chickens","2017","2017","1000 US$","20","","Official data"
"TA","Live animals","18","Bhutan","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","360","","Official data"
"TA","Live animals","18","Bhutan","5622","Import Value","1057","Chickens","2017","2017","1000 US$","370","","Official data"
"TA","Live animals","19","Bolivia (Plurinational State of)","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","936","","Official data"
"TA","Live animals","19","Bolivia (Plurinational State of)","5622","Import Value","1057","Chickens","2017","2017","1000 US$","4727","","Official data"
"TA","Live animals","80","Bosnia and Herzegovina","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","24491","","Official data"
"TA","Live animals","80","Bosnia and Herzegovina","5622","Import Value","1057","Chickens","2017","2017","1000 US$","2605","","Official data"
"TA","Live animals","80","Bosnia and Herzegovina","5909","Export Quantity","1057","Chickens","2017","2017","1000 Head","5654","","Official data"
"TA","Live animals","80","Bosnia and Herzegovina","5922","Export Value","1057","Chickens","2017","2017","1000 US$","617","","Official data"
"TA","Live animals","20","Botswana","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","872","","Official data"
"TA","Live animals","20","Botswana","5622","Import Value","1057","Chickens","2017","2017","1000 US$","3374","","Official data"
"TA","Live animals","20","Botswana","5909","Export Quantity","1057","Chickens","2017","2017","1000 Head","89","","Official data"
"TA","Live animals","20","Botswana","5922","Export Value","1057","Chickens","2017","2017","1000 US$","29","","Official data"
"TA","Live animals","21","Brazil","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","40","","Official data"
"TA","Live animals","21","Brazil","5622","Import Value","1057","Chickens","2017","2017","1000 US$","1425","","Official data"
"TA","Live animals","21","Brazil","5909","Export Quantity","1057","Chickens","2017","2017","1000 Head","17850","","Official data"
"TA","Live animals","21","Brazil","5922","Export Value","1057","Chickens","2017","2017","1000 US$","69981","","Official data"
"TA","Live animals","239","British Virgin Islands","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","3","R","Estimated data using trading partners database"
"TA","Live animals","239","British Virgin Islands","5622","Import Value","1057","Chickens","2017","2017","1000 US$","46","R","Estimated data using trading partners database"
"TA","Live animals","26","Brunei Darussalam","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","856","","Official data"
"TA","Live animals","26","Brunei Darussalam","5622","Import Value","1057","Chickens","2017","2017","1000 US$","1058","","Official data"
"TA","Live animals","27","Bulgaria","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","1926","","Official data"
"TA","Live animals","27","Bulgaria","5622","Import Value","1057","Chickens","2017","2017","1000 US$","4577","","Official data"
"TA","Live animals","27","Bulgaria","5909","Export Quantity","1057","Chickens","2017","2017","1000 Head","30825","","Official data"
"TA","Live animals","27","Bulgaria","5922","Export Value","1057","Chickens","2017","2017","1000 US$","11968","","Official data"
"TA","Live animals","233","Burkina Faso","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","744","","Official data"
"TA","Live animals","233","Burkina Faso","5622","Import Value","1057","Chickens","2017","2017","1000 US$","233","","Official data"
"TA","Live animals","29","Burundi","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","36","","Official data"
"TA","Live animals","29","Burundi","5622","Import Value","1057","Chickens","2017","2017","1000 US$","40","","Official data"
"TA","Live animals","35","Cabo Verde","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","115","","Official data"
"TA","Live animals","35","Cabo Verde","5622","Import Value","1057","Chickens","2017","2017","1000 US$","169","","Official data"
"TA","Live animals","115","Cambodia","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","815","Im","FAO data based on imputation methodology"
"TA","Live animals","115","Cambodia","5622","Import Value","1057","Chickens","2017","2017","1000 US$","1931","R","Estimated data using trading partners database"
"TA","Live animals","32","Cameroon","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","72","Im","FAO data based on imputation methodology"
"TA","Live animals","32","Cameroon","5622","Import Value","1057","Chickens","2017","2017","1000 US$","120","Im","FAO data based on imputation methodology"
"TA","Live animals","33","Canada","5609","Import Quantity","1057","Chickens","2017","2017","1000 Head","56832","","Official data"
"TA","Live animals","33","Canada","5622","Import Value","1057","Chickens","2017","2017","1000 US$","52627","","Official data"
